source,target,score
ACE,AGTR1,0.974
ACO2,FH,0.949
ACO2,SOD2,0.968
ADIPOQ,ADIPOR1,0.999
ADIPOQ,CDH13,0.996
ADIPOR1,APPL1,0.999
AGT,ACE,0.999
AGT,AGTR1,0.999
AGT,EDNRA,0.988
AGT,ENPEP,0.925
AKT1,APPL1,0.993
AKT1,CAV1,0.937
AKT1,CDH1,0.903
AKT1,GNRH1,0.942
AKT1,GRB2,0.907
AKT1,KRAS,0.904
AKT1,NOS2,0.976
AKT1,NOS3,0.997
AKT1,PAK1,0.994
AKT1,PIK3CA,0.998
AKT1,PTEN,0.988
ANAPC5,CDC27,0.999
APC,APC2,0.911
APC,AXIN2,0.999
APC,CDH1,0.92
APC,DVL3,0.931
APC,PTPN13,0.929
APC2,AXIN2,0.977
APC2,DVL3,0.912
APEX1,MUTYH,0.975
APEX1,NTHL1,0.994
APEX1,OGG1,0.986
APEX1,PARP1,0.967
ARHGEF4,APC,0.999
ARHGEF4,APC2,0.929
ARID1A,ARID1B,0.999
ARID1A,BCL11A,0.975
ARID1A,PIK3CA,0.913
ARID1A,SMARCA4,0.999
ATM,ATRIP,0.998
ATM,BARD1,0.946
ATM,BLM,0.991
ATM,BRCA2,0.995
ATM,BRIP1,0.933
ATM,CASP8,0.961
ATM,CHEK2,0.999
ATM,EP300,0.904
ATM,ERCC2,0.914
ATM,MLH1,0.997
ATM,MRE11,0.999
ATM,MSH2,0.999
ATM,NBN,0.999
ATM,PALB2,0.945
ATM,PPM1D,0.924
ATM,RAD50,0.99
ATM,RAD51C,0.921
ATM,RAD51D,0.93
ATM,TP53,0.999
ATM,WRN,0.955
ATM,XRCC3,0.918
AURKA,CCNB1,0.979
AURKA,CDK1,0.951
AURKA,FN1,0.945
AURKA,HMMR,0.97
AURKA,MYC,0.914
AXIN2,TCF7L1,0.906
AXIN2,TCF7L2,0.912
BARD1,ABRAXAS1,0.999
BARD1,ANAPC5,0.915
BARD1,CDC27,0.914
BARD1,H4C1,0.907
BARD1,MRE11,0.999
BARD1,OLA1,0.958
BARD1,PALB2,0.987
BARD1,RAD50,0.997
BARD1,RAD51C,0.967
BARD1,RAD51D,0.94
BARD1,XRCC3,0.905
BCL11A,ARID1B,0.967
BCL2L1,AKT1,0.991
BCL2L1,CASP8,0.933
BCL2L1,CTSD,0.934
BCL2L1,KRAS,0.982
BCL2L1,STAT3,0.949
BCL2L1,TP73,0.929
BGN,TLR2,0.989
BGN,TLR4,0.994
BIK,BCL2L1,0.999
BIRC2,CASP7,0.997
BIRC2,TAX1BP1,0.912
BLM,FANCA,0.999
BLM,MRE11,0.969
BLM,NBN,0.925
BLM,RAD50,0.92
BLM,XRCC3,0.962
BRCA1,ABRAXAS1,0.999
BRCA1,AKT1,0.993
BRCA1,ANAPC5,0.911
BRCA1,AR,0.908
BRCA1,ATM,0.999
BRCA1,ATRIP,0.972
BRCA1,AURKA,0.942
BRCA1,BARD1,0.999
BRCA1,BLM,0.974
BRCA1,BRCA2,0.999
BRCA1,BRIP1,0.999
BRCA1,CCNB1,0.916
BRCA1,CDC27,0.923
BRCA1,CHEK2,0.999
BRCA1,EP300,0.986
BRCA1,ESR1,0.999
BRCA1,FANCA,0.995
BRCA1,FANCC,0.926
BRCA1,FANCD2,0.999
BRCA1,FANCM,0.916
BRCA1,HMMR,0.964
