stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000013807	9606.ENSP00000310842	ERCC1	FANCI	9606	0.907	0.0	0.0	0.0	0.0	0.0	0.54	0.808
9606.ENSP00000013807	9606.ENSP00000493712	ERCC1	RAD51	9606	0.908	0.0	0.0	0.0	0.0	0.0	0.4	0.853
9606.ENSP00000013807	9606.ENSP00000348089	ERCC1	ERCC6	9606	0.926	0.0	0.0	0.0	0.0	0.0	0.0	0.926
9606.ENSP00000013807	9606.ENSP00000418960	ERCC1	BRCA1	9606	0.93	0.0	0.0	0.0	0.055	0.439	0.54	0.747
9606.ENSP00000013807	9606.ENSP00000267430	ERCC1	FANCM	9606	0.933	0.0	0.0	0.0	0.109	0.569	0.5	0.692
9606.ENSP00000013807	9606.ENSP00000287647	ERCC1	FANCD2	9606	0.951	0.0	0.0	0.0	0.0	0.0	0.54	0.899
9606.ENSP00000013807	9606.ENSP00000472445	ERCC1	POLD1	9606	0.953	0.0	0.0	0.0	0.056	0.092	0.9	0.525
9606.ENSP00000013807	9606.ENSP00000234420	ERCC1	MSH6	9606	0.974	0.0	0.0	0.0	0.049	0.181	0.9	0.708
9606.ENSP00000013807	9606.ENSP00000278616	ERCC1	ATM	9606	0.975	0.0	0.0	0.0	0.0	0.0	0.9	0.769
9606.ENSP00000013807	9606.ENSP00000233146	ERCC1	MSH2	9606	0.992	0.0	0.0	0.0	0.0	0.607	0.9	0.816
9606.ENSP00000013807	9606.ENSP00000285398	ERCC1	ERCC3	9606	0.994	0.0	0.0	0.0	0.074	0.0	0.54	0.988
9606.ENSP00000013807	9606.ENSP00000375809	ERCC1	ERCC2	9606	0.996	0.0	0.0	0.0	0.095	0.0	0.5	0.993
9606.ENSP00000013807	9606.ENSP00000294008	ERCC1	SLX4	9606	0.999	0.0	0.0	0.0	0.086	0.899	0.5	0.997
9606.ENSP00000025008	9606.ENSP00000380638	RB1CC1	PTK2B	9606	0.977	0.0	0.0	0.0	0.0	0.292	0.0	0.969
9606.ENSP00000025008	9606.ENSP00000269305	RB1CC1	TP53	9606	0.984	0.0	0.0	0.0	0.0	0.51	0.0	0.969
9606.ENSP00000025008	9606.ENSP00000349205	RB1CC1	PIK3R4	9606	0.986	0.0	0.0	0.0	0.056	0.0	0.9	0.872
9606.ENSP00000080059	9606.ENSP00000263253	HDAC7	EP300	9606	0.94	0.0	0.0	0.0	0.049	0.328	0.5	0.836
9606.ENSP00000080059	9606.ENSP00000250448	HDAC7	FOXA1	9606	0.976	0.0	0.0	0.0	0.0	0.51	0.0	0.954
9606.ENSP00000159111	9606.ENSP00000405330	KDM4B	ESR1	9606	0.922	0.0	0.0	0.0	0.049	0.522	0.5	0.698
9606.ENSP00000196061	9606.ENSP00000354960	PLOD1	COLGALT2	9606	0.929	0.0	0.0	0.0	0.059	0.0	0.9	0.311
9606.ENSP00000216115	9606.ENSP00000365230	BIK	BCL2L1	9606	0.999	0.0	0.0	0.0	0.0	0.873	0.54	0.987
9606.ENSP00000216181	9606.ENSP00000226207	MYH9	MYH1	9606	0.914	0.0	0.0	0.095	0.0	0.098	0.9	0.073
9606.ENSP00000216254	9606.ENSP00000355518	ACO2	FH	9606	0.949	0.115	0.0	0.0	0.365	0.18	0.0	0.902
9606.ENSP00000216254	9606.ENSP00000446252	ACO2	SOD2	9606	0.968	0.0	0.0	0.0	0.19	0.711	0.0	0.875
9606.ENSP00000216554	9606.ENSP00000375632	EIF5	RPS9	9606	0.943	0.0	0.0	0.0	0.187	0.839	0.5	0.241
9606.ENSP00000216554	9606.ENSP00000429931	EIF5	EIF3H	9606	0.97	0.0	0.0	0.0	0.108	0.197	0.9	0.633
9606.ENSP00000216554	9606.ENSP00000326381	EIF5	EIF4A2	9606	0.988	0.0	0.0	0.0	0.27	0.071	0.5	0.97
9606.ENSP00000216714	9606.ENSP00000263253	APEX1	EP300	9606	0.944	0.0	0.0	0.0	0.053	0.762	0.0	0.775
9606.ENSP00000216714	9606.ENSP00000269305	APEX1	TP53	9606	0.944	0.0	0.0	0.0	0.104	0.51	0.0	0.884
9606.ENSP00000216714	9606.ENSP00000355759	APEX1	PARP1	9606	0.967	0.0	0.0	0.0	0.266	0.115	0.5	0.912
9606.ENSP00000216714	9606.ENSP00000500891	APEX1	MUTYH	9606	0.975	0.0	0.0	0.0	0.061	0.647	0.5	0.87
9606.ENSP00000216714	9606.ENSP00000306561	APEX1	OGG1	9606	0.986	0.115	0.0	0.0	0.056	0.134	0.5	0.969
9606.ENSP00000216714	9606.ENSP00000219066	APEX1	NTHL1	9606	0.994	0.1	0.897	0.0	0.139	0.314	0.5	0.846
9606.ENSP00000216911	9606.ENSP00000478887	AURKA	MYC	9606	0.914	0.0	0.0	0.0	0.099	0.175	0.0	0.893
