node_label,queryItem,stringId,preferredName
A1CF,A1cf,9606.ENSP00000378868,A1CF
A2M,A2M,9606.ENSP00000323929,A2M
AAAS,AAAS,9606.ENSP00000209873,AAAS
AARSD1,AARSD1,9606.ENSP00000400870,AARSD1
AATF,AATF,9606.ENSP00000477848,AATF
ABAT,ABAT,9606.ENSP00000379845,ABAT
ABCA1,ABCA1,9606.ENSP00000363868,ABCA1
ABCA8,ABCA8,9606.ENSP00000467271,ABCA8
ABCB1,ABCB1,9606.ENSP00000478255,ABCB1
ABCB11,ABCB11,9606.ENSP00000497931,ABCB11
ABCB8,Abcb8,9606.ENSP00000297504,ABCB8
ABCC8,ABCC8,9606.ENSP00000494321,ABCC8
ABCC9,ABCC9,9606.ENSP00000261200,ABCC9
ABCD4,ABCD4,9606.ENSP00000349396,ABCD4
ABCE1,ABCE1,9606.ENSP00000296577,ABCE1
ABCF2,ABCF2,9606.ENSP00000222388,ABCF2
ABCG1,Abcg1,9606.ENSP00000354995,ABCG1
ABCG2,Abcg2,9606.ENSP00000498246,ABCG2
ABCG4,Abcg4,9606.ENSP00000481728,ABCG4
ABCG5,ABCG5,9606.ENSP00000384513,ABCG5
ABCG8,ABCG8,9606.ENSP00000272286,ABCG8
ABHD6,Abhd6,9606.ENSP00000295962,ABHD6
ABI1,ABI1,9606.ENSP00000365312,ABI1
ABI2,ABI2,9606.ENSP00000295851,ABI2
ABI3,ABI3,9606.ENSP00000225941,ABI3
ABL1,ABL1,9606.ENSP00000361423,ABL1
ABL2,ABL2,9606.ENSP00000427562,ABL2
ABRAXAS1,ABRAXAS1,9606.ENSP00000369857,ABRAXAS1
ABRAXAS2,ABRAXAS2,9606.ENSP00000298492,ABRAXAS2
ACAD8,ACAD8,9606.ENSP00000281182,ACAD8
ACAP1,ACAP1,9606.ENSP00000158762,ACAP1
ACBD5,ACBD5,9606.ENSP00000365049,ACBD5
ACD,ACD,9606.ENSP00000483117,ACD
ACE,ACE,9606.ENSP00000290866,ACE
ACE2,ACE2,9606.ENSP00000389326,ACE2
ACHE,ACHE,9606.ENSP00000303211,ACHE
ACIN1,ACIN1,9606.ENSP00000262710,ACIN1
ACKR3,ACKR3,9606.ENSP00000272928,ACKR3
ACLY,ACLY,9606.ENSP00000466259,ACLY
ACSL1,Acsl1,9606.ENSP00000422607,ACSL1
ACTA1,ACTA1,9606.ENSP00000355645,ACTA1
ACTA2,ACTA2,9606.ENSP00000224784,ACTA2
ACTB,ACTB,9606.ENSP00000494750,ACTB
ACTBL2,ACTBL2,9606.ENSP00000416706,ACTBL2
ACTG1,ACTG1,9606.ENSP00000458162,ACTG1
ACTG2,ACTG2,9606.ENSP00000386857,ACTG2
ACTL6A,ACTL6A,9606.ENSP00000397552,ACTL6A
ACTL6B,ACTL6B,9606.ENSP00000160382,ACTL6B
ACTN1,ACTN1,9606.ENSP00000377941,ACTN1
ACTN2,ACTN2,9606.ENSP00000355537,ACTN2
ACTN4,ACTN4,9606.ENSP00000252699,ACTN4
ACTR10,ACTR10,9606.ENSP00000254286,ACTR10
ACTR1A,ACTR1A,9606.ENSP00000358921,ACTR1A
ACTR1B,ACTR1B,9606.ENSP00000289228,ACTR1B
ACTR2,ACTR2,9606.ENSP00000367220,ACTR2
ACTR3,ACTR3,9606.ENSP00000263238,ACTR3
ACTR5,ACTR5,9606.ENSP00000243903,ACTR5
ACTR6,ACTR6,9606.ENSP00000188312,ACTR6
ACTR8,ACTR8,9606.ENSP00000336842,ACTR8
ACVR1,ACVR1,9606.ENSP00000405004,ACVR1
ACVR1B,ACVR1B,9606.ENSP00000442656,ACVR1B
ACVR1C,ACVR1C,9606.ENSP00000243349,ACVR1C
ACVR2A,Acvr2a,9606.ENSP00000241416,ACVR2A
ACVR2B,ACVR2B,9606.ENSP00000340361,ACVR2B
ADA,ADA,9606.ENSP00000361965,ADA
ADAM12,ADAM12,9606.ENSP00000357668,ADAM12
ADAM15,ADAM15,9606.ENSP00000349436,ADAM15
ADAM17,ADAM17,9606.ENSP00000309968,ADAM17
ADAM2,Adam2,9606.ENSP00000265708,ADAM2
ADAM22,ADAM22,9606.ENSP00000265727,ADAM22
ADAM23,ADAM23,9606.ENSP00000264377,ADAM23
ADAM8,ADAM8,9606.ENSP00000453302,ADAM8
ADAM9,ADAM9,9606.ENSP00000419446,ADAM9
ADAR,ADAR,9606.ENSP00000357459,ADAR
ADCY2,ADCY2,9606.ENSP00000342952,ADCY2
ADCY3,Adcy3,9606.ENSP00000384484,ADCY3
ADCY5,Adcy5,9606.ENSP00000419361,ADCY5
ADCY6,Adcy6,9606.ENSP00000311405,ADCY6
ADCY8,Adcy8,9606.ENSP00000286355,ADCY8
ADCYAP1,ADCYAP1,9606.ENSP00000462647,ADCYAP1
ADCYAP1R1,ADCYAP1R1,9606.ENSP00000483721,ADCYAP1R1
ADD2,ADD2,9606.ENSP00000264436,ADD2
ADGRA2,ADGRA2,9606.ENSP00000406367,ADGRA2
ADGRG1,ADGRG1,9606.ENSP00000455215,ADGRG1
ADGRL3,ADGRL3,9606.ENSP00000422533,ADGRL3
ADGRV1,ADGRV1,9606.ENSP00000384582,ADGRV1
ADH1A,ADH1A,9606.ENSP00000209668,ADH1A
ADH1B,ADH1B,9606.ENSP00000306606,ADH1B
ADH1C,ADH1C,9606.ENSP00000426083,ADH1C
ADIPOQ,ADIPOQ,9606.ENSP00000389814,ADIPOQ
ADIPOR1,Adipor1,9606.ENSP00000341785,ADIPOR1
ADM,ADM,9606.ENSP00000436607,ADM
ADM2,ADM2,9606.ENSP00000379087,ADM2
ADNP,Adnp,9606.ENSP00000360662,ADNP
ADORA1,ADORA1,9606.ENSP00000356205,ADORA1
ADORA2A,ADORA2A,9606.ENSP00000480012,ADORA2A
ADORA2B,ADORA2B,9606.ENSP00000304501,ADORA2B
ADORA3,ADORA3,9606.ENSP00000241356,ADORA3
ADRA1A,ADRA1A,9606.ENSP00000369960,ADRA1A
ADRA1B,ADRA1B,9606.ENSP00000306662,ADRA1B
ADRA1D,ADRA1D,9606.ENSP00000368766,ADRA1D
ADRA2A,ADRA2A,9606.ENSP00000280155,ADRA2A
ADRA2B,ADRA2B,9606.ENSP00000480573,ADRA2B
ADRA2C,ADRA2C,9606.ENSP00000386069,ADRA2C
ADRB1,ADRB1,9606.ENSP00000358301,ADRB1
ADRB2,ADRB2,9606.ENSP00000305372,ADRB2
ADRB3,ADRB3,9606.ENSP00000343782,ADRB3
AEBP2,AEBP2,9606.ENSP00000381840,AEBP2
AFDN,AFDN,9606.ENSP00000355771,AFDN
AFF1,AFF1,9606.ENSP00000378578,AFF1
AFF4,AFF4,9606.ENSP00000265343,AFF4
AFG3L2,AFG3L2,9606.ENSP00000269143,AFG3L2
AGAP1,AGAP1,9606.ENSP00000307634,AGAP1
AGK,AGK,9606.ENSP00000497280,AGK
AGO2,AGO2,9606.ENSP00000220592,AGO2
AGO4,AGO4,9606.ENSP00000362306,AGO4
AGPAT2,AGPAT2,9606.ENSP00000360761,AGPAT2
AGPS,AGPS,9606.ENSP00000264167,AGPS
AGT,AGT,9606.ENSP00000355627,AGT
AGTR1,AGTR1,9606.ENSP00000398832,AGTR1
AGTR2,AGTR2,9606.ENSP00000360973,AGTR2
AGTRAP,Agtrap,9606.ENSP00000319713,AGTRAP
AHCTF1,AHCTF1,9606.ENSP00000355465,AHCTF1
AHCYL1,AHCYL1,9606.ENSP00000358814,AHCYL1
AHI1,AHI1,9606.ENSP00000265602,AHI1
AHNAK,AHNAK,9606.ENSP00000367263,AHNAK
AHR,AHR,9606.ENSP00000242057,AHR
AHRR,Ahrr,9606.ENSP00000323816,AHRR
AHSA1,AHSA1,9606.ENSP00000216479,AHSA1
AHSG,AHSG,9606.ENSP00000273784,AHSG
AIFM1,AIFM1,9606.ENSP00000287295,AIFM1
AIM2,AIM2,9606.ENSP00000357112,AIM2
AIMP1,AIMP1,9606.ENSP00000378191,AIMP1
AIMP2,AIMP2,9606.ENSP00000223029,AIMP2
AIP,AIP,9606.ENSP00000279146,AIP
AIPL1,AIPL1,9606.ENSP00000370521,AIPL1
AIRE,AIRE,9606.ENSP00000291582,AIRE
AJUBA,AJUBA,9606.ENSP00000262713,AJUBA
AK2,AK2,9606.ENSP00000499935,AK2
AKAP1,AKAP1,9606.ENSP00000478212,AKAP1
AKAP12,AKAP12,9606.ENSP00000384537,AKAP12
AKAP13,AKAP13,9606.ENSP00000354718,AKAP13
AKAP5,AKAP5,9606.ENSP00000378207,AKAP5
AKAP6,AKAP6,9606.ENSP00000280979,AKAP6
AKAP7,AKAP7,9606.ENSP00000405252,AKAP7
AKAP8,AKAP8,9606.ENSP00000269701,AKAP8
AKAP8L,AKAP8L,9606.ENSP00000380557,AKAP8L
AKAP9,AKAP9,9606.ENSP00000348573,AKAP9
AKT1,AKT1,9606.ENSP00000451828,AKT1
AKT1S1,AKT1S1,9606.ENSP00000375711,AKT1S1
AKT2,AKT2,9606.ENSP00000375892,AKT2
AKT3,AKT3,9606.ENSP00000500582,AKT3
AKTIP,AKTIP,9606.ENSP00000300245,AKTIP
ALAS1,ALAS1,9606.ENSP00000378416,ALAS1
ALB,ALB,9606.ENSP00000295897,ALB
ALDH2,ALDH2,9606.ENSP00000261733,ALDH2
ALDH5A1,ALDH5A1,9606.ENSP00000314649,ALDH5A1
ALDOB,ALDOB,9606.ENSP00000497767,ALDOB
ALK,ALK,9606.ENSP00000373700,ALK
ALMS1,Alms1,9606.ENSP00000482968,ALMS1
ALOX5,ALOX5,9606.ENSP00000363512,ALOX5
ALYREF,ALYREF,9606.ENSP00000421592,ALYREF
AMBP,AMBP,9606.ENSP00000265132,AMBP
AMFR,AMFR,9606.ENSP00000290649,AMFR
AMH,Amh,9606.ENSP00000221496,AMH
AMHR2,Amhr2,9606.ENSP00000257863,AMHR2
AMN,AMN,9606.ENSP00000299155,AMN
AMOT,AMOT,9606.ENSP00000361027,AMOT
AMOTL1,AMOTL1,9606.ENSP00000387739,AMOTL1
AMOTL2,AMOTL2,9606.ENSP00000424765,AMOTL2
AMPH,Amph,9606.ENSP00000348602,AMPH
ANAPC1,ANAPC1,9606.ENSP00000339109,ANAPC1
ANAPC10,ANAPC10,9606.ENSP00000478501,ANAPC10
ANAPC11,ANAPC11,9606.ENSP00000349957,ANAPC11
ANAPC16,ANAPC16,9606.ENSP00000477760,ANAPC16
ANAPC2,ANAPC2,9606.ENSP00000314004,ANAPC2
ANAPC4,ANAPC4,9606.ENSP00000426654,ANAPC4
ANAPC5,ANAPC5,9606.ENSP00000261819,ANAPC5
ANAPC7,ANAPC7,9606.ENSP00000394394,ANAPC7
ANG,ANG,9606.ENSP00000336762,ANG
ANGPT1,ANGPT1,9606.ENSP00000428340,ANGPT1
ANGPT2,ANGPT2,9606.ENSP00000314897,ANGPT2
ANGPTL4,ANGPTL4,9606.ENSP00000301455,ANGPTL4
ANK2,ANK2,9606.ENSP00000349588,ANK2
ANK3,ANK3,9606.ENSP00000280772,ANK3
ANKRA2,ANKRA2,9606.ENSP00000296785,ANKRA2
ANKRD1,ANKRD1,9606.ENSP00000360762,ANKRD1
ANKRD11,ANKRD11,9606.ENSP00000301030,ANKRD11
ANKRD28,ANKRD28,9606.ENSP00000382379,ANKRD28
ANKRD44,ANKRD44,9606.ENSP00000282272,ANKRD44
ANKRD52,ANKRD52,9606.ENSP00000267116,ANKRD52
ANKRD54,Ankrd54,9606.ENSP00000215941,ANKRD54
ANKS1A,ANKS1A,9606.ENSP00000353518,ANKS1A
ANKS3,Anks3,9606.ENSP00000304586,ANKS3
ANKS6,ANKS6,9606.ENSP00000297837,ANKS6
ANO1,ANO1,9606.ENSP00000347454,ANO1
ANOS1,ANOS1,9606.ENSP00000262648,ANOS1
ANP32A,ANP32A,9606.ENSP00000417864,ANP32A
ANP32B,ANP32B,9606.ENSP00000345848,ANP32B
ANP32E,ANP32E,9606.ENSP00000463154,ANP32E
ANXA1,ANXA1,9606.ENSP00000366109,ANXA1
ANXA2,ANXA2,9606.ENSP00000346032,ANXA2
ANXA6,ANXA6,9606.ENSP00000346550,ANXA6
ANXA7,ANXA7,9606.ENSP00000362010,ANXA7
AP1AR,AP1AR,9606.ENSP00000274000,AP1AR
AP1B1,AP1B1,9606.ENSP00000350199,AP1B1
AP1G1,AP1G1,9606.ENSP00000377148,AP1G1
AP1G2,AP1G2,9606.ENSP00000312442,AP1G2
AP1M1,AP1M1,9606.ENSP00000388996,AP1M1
AP1M2,AP1M2,9606.ENSP00000465685,AP1M2
AP1S1,AP1S1,9606.ENSP00000336666,AP1S1
AP1S2,AP1S2,9606.ENSP00000500695,AP1S2
AP1S3,AP1S3,9606.ENSP00000379891,AP1S3
AP2A1,AP2A1,9606.ENSP00000351926,AP2A1
AP2A2,Ap2a2,9606.ENSP00000327694,AP2A2
AP2B1,AP2B1,9606.ENSP00000483185,AP2B1
AP2M1,AP2M1,9606.ENSP00000403362,AP2M1
AP2S1,Ap2s1,9606.ENSP00000470176,AP2S1
