node_A,node_B,score
AAR2,BRR2,0.998
AAR2,BUD13,0.522
AAR2,CBC2,0.494
AAR2,DIB1,0.975
AAR2,LIN1,0.992
AAR2,MUD1,0.994
AAR2,POP3,0.458
AAR2,PRP18,0.932
AAR2,PRP24,0.585
AAR2,PRP28,0.987
AAR2,PRP31,0.412
AAR2,PRP39,0.475
AAR2,PRP42,0.453
AAR2,PRP6,0.755
AAR2,PRP8,0.999
AAR2,RPC82,0.4
AAR2,RRI1,0.875
AAR2,RVB1,0.593
AAR2,RVB2,0.631
AAR2,SMB1,0.982
AAR2,SMD1,0.964
AAR2,SMD2,0.929
AAR2,SMD3,0.942
AAR2,SME1,0.929
AAR2,SMX2,0.907
AAR2,SMX3,0.964
AAR2,SNU114,0.999
AAR2,SNU23,0.62
AAR2,SNU66,0.61
AAR2,SPP381,0.756
AAR2,SYF2,0.534
ABF1,CBF1,0.816
ABF1,CHD1,0.402
ABF1,ELC1,0.932
ABF1,GCR1,0.455
ABF1,HAP4,0.511
ABF1,HHF1,0.642
ABF1,HTB1,0.534
ABF1,IFH1,0.978
ABF1,MBP1,0.558
ABF1,MCM1,0.702
ABF1,MET31,0.414
ABF1,MLH1,0.729
ABF1,MLH2,0.727
ABF1,MLH3,0.72
ABF1,MOT1,0.617
ABF1,MSH2,0.727
ABF1,MSH3,0.736
ABF1,MSH6,0.727
ABF1,ORC1,0.518
ABF1,PMS1,0.723
ABF1,RAD1,0.73
ABF1,RAD10,0.734
ABF1,RAD14,0.778
ABF1,RAD16,0.983
ABF1,RAD2,0.914
ABF1,RAD23,0.914
ABF1,RAD3,0.912
ABF1,RAD4,0.932
ABF1,RAD7,0.979
ABF1,RPC34,0.546
ABF1,RPC40,0.485
ABF1,RPC53,0.544
ABF1,RPC82,0.569
ABF1,RPO31,0.493
ABF1,RSC3,0.612
ABF1,RSC30,0.406
ABF1,SIR2,0.517
ABF1,SIR3,0.635
ABF1,SIR4,0.699
ABF1,SNF2,0.448
ABF1,SPT15,0.449
ABF1,SSL1,0.911
ABF1,SSL2,0.918
ABF1,STE12,0.426
ABF1,STH1,0.587
ABF1,SUM1,0.414
ABF1,SWI4,0.558
ABF1,SWI6,0.541
ABF1,TFB1,0.904
ABF1,TFB2,0.745
ABF1,TFB4,0.72
ABF1,UME6,0.6
ACT1,APL3,0.581
ACT1,APL4,0.507
ACT1,APM4,0.442
ACT1,ARC15,0.944
ACT1,ARC18,0.976
ACT1,ARC19,0.957
ACT1,ARC35,0.96
ACT1,ARC40,0.983
ACT1,ARF1,0.92
ACT1,ARP10,0.972
ACT1,ARP2,0.992
ACT1,ARP3,0.994
ACT1,ARP4,0.999
ACT1,ARP5,0.988
ACT1,ARP6,0.978
ACT1,ARP7,0.81
ACT1,ARP8,0.999
ACT1,ARP9,0.713
ACT1,ASC1,0.802
ACT1,ASH1,0.544
ACT1,ASK1,0.662
ACT1,ATG12,0.647
