queryItem,stringId,ncbiTaxonId,preferredName,resolvedQuery,mappingSource,mappingPriority,node_label
AAR2,4932.YBL074C,4932,AAR2,AAR2,direct_string,1,AAR2
ABF1,4932.YKL112W,4932,ABF1,ABF1,direct_string,1,ABF1
ACT1,4932.YFL039C,4932,ACT1,ACT1,direct_string,1,ACT1
ADA2,4932.YDR448W,4932,ADA2,ADA2,direct_string,1,ADA2
AFG3,4932.YER017C,4932,AFG3,AFG3,direct_string,1,AFG3
AHC1,4932.YOR023C,4932,AHC1,AHC1,direct_string,1,AHC1
AIR1,4932.YIL079C,4932,AIR1,AIR1,direct_string,1,AIR1
AIR2,4932.YDL175C,4932,AIR2,AIR2,direct_string,1,AIR2
ALG13,4932.YGL047W,4932,ALG13,ALG13,direct_string,1,ALG13
ALG14,4932.YBR070C,4932,ALG14,ALG14,direct_string,1,ALG14
AME1,4932.YBR211C,4932,AME1,AME1,direct_string,1,AME1
ANP1,4932.YEL036C,4932,ANP1,ANP1,direct_string,1,ANP1
AOS1,4932.YPR180W,4932,AOS1,AOS1,direct_string,1,AOS1
APC1,4932.YNL172W,4932,APC1,APC1,direct_string,1,APC1
APC11,4932.YDL008W,4932,APC11,APC11,direct_string,1,APC11
APC2,4932.YLR127C,4932,APC2,APC2,direct_string,1,APC2
APC4,4932.YDR118W,4932,APC4,APC4,direct_string,1,APC4
APC5,4932.YOR249C,4932,APC5,APC5,direct_string,1,APC5
APC9,4932.YLR102C,4932,APC9,APC9,direct_string,1,APC9
APL1,4932.YJR005W,4932,APL1,APL1,direct_string,1,APL1
APL2,4932.YKL135C,4932,APL2,APL2,direct_string,1,APL2
APL3,4932.YBL037W,4932,APL3,APL3,direct_string,1,APL3
APL4,4932.YPR029C,4932,APL4,APL4,direct_string,1,APL4
APL5,4932.YPL195W,4932,APL5,APL5,direct_string,1,APL5
APL6,4932.YGR261C,4932,APL6,APL6,direct_string,1,APL6
APM1,4932.YPL259C,4932,APM1,APM1,direct_string,1,APM1
APM2,4932.YHL019C,4932,APM2,APM2,direct_string,1,APM2
APM3,4932.YBR288C,4932,APM3,APM3,direct_string,1,APM3
APM4,4932.YOL062C,4932,APM4,APM4,direct_string,1,APM4
APS1,4932.YLR170C,4932,APS1,APS1,direct_string,1,APS1
APS2,4932.YJR058C,4932,APS2,APS2,direct_string,1,APS2
APS3,4932.YJL024C,4932,APS3,APS3,direct_string,1,APS3
ARC1,4932.YGL105W,4932,ARC1,ARC1,direct_string,1,ARC1
ARC15,4932.YIL062C,4932,ARC15,ARC15,direct_string,1,ARC15
ARC18,4932.YLR370C,4932,ARC18,ARC18,direct_string,1,ARC18
ARC19,4932.YKL013C,4932,ARC19,ARC19,direct_string,1,ARC19
ARC35,4932.YNR035C,4932,ARC35,ARC35,direct_string,1,ARC35
ARC40,4932.YBR234C,4932,ARC40,ARC40,direct_string,1,ARC40
ARD1,4932.YHR013C,4932,ARD1,ARD1,direct_string,1,ARD1
ARF1,4932.YDL192W,4932,ARF1,ARF1,direct_string,1,ARF1
ARG2,4932.YJL071W,4932,ARG2,ARG2,direct_string,1,ARG2
ARG3,4932.YJL088W,4932,ARG3,ARG3,direct_string,1,ARG3
"ARG5,6",4932.YER069W,4932,"ARG5,6","ARG5,6",direct_string,1,"ARG5,6"
