community_id,node_label,preferredName,queryItem,stringId
1,ABF1,ABF1,ABF1,4932.YKL112W
1,ACT1,ACT1,ACT1,4932.YFL039C
1,ADA2,ADA2,ADA2,4932.YDR448W
1,AHC1,AHC1,AHC1,4932.YOR023C
1,AME1,AME1,AME1,4932.YBR211C
1,AOS1,AOS1,AOS1,4932.YPR180W
1,APC1,APC1,APC1,4932.YNL172W
1,APC11,APC11,APC11,4932.YDL008W
1,APC2,APC2,APC2,4932.YLR127C
1,APC4,APC4,APC4,4932.YDR118W
1,APC5,APC5,APC5,4932.YOR249C
1,APC9,APC9,APC9,4932.YLR102C
1,APL1,APL1,APL1,4932.YJR005W
1,APL2,APL2,APL2,4932.YKL135C
1,APL3,APL3,APL3,4932.YBL037W
1,APL4,APL4,APL4,4932.YPR029C
1,APL5,APL5,APL5,4932.YPL195W
1,APL6,APL6,APL6,4932.YGR261C
1,APM1,APM1,APM1,4932.YPL259C
1,APM2,APM2,APM2,4932.YHL019C
1,APM3,APM3,APM3,4932.YBR288C
1,APM4,APM4,APM4,4932.YOL062C
1,APS1,APS1,APS1,4932.YLR170C
1,APS2,APS2,APS2,4932.YJR058C
1,APS3,APS3,APS3,4932.YJL024C
1,ARC15,ARC15,ARC15,4932.YIL062C
1,ARC18,ARC18,ARC18,4932.YLR370C
1,ARC19,ARC19,ARC19,4932.YKL013C
1,ARC35,ARC35,ARC35,4932.YNR035C
1,ARC40,ARC40,ARC40,4932.YBR234C
1,ARF1,ARF1,ARF1,4932.YDL192W
1,ARG80,ARG80,ARG80,4932.YMR042W
1,ARG81,ARG81,ARG81,4932.YML099C
1,ARG82,ARG82,ARG82,4932.YDR173C
1,ARP1,ARP1,ARP1,4932.YHR129C
1,ARP10,ARP10,ARP10,4932.YDR106W
1,ARP2,ARP2,ARP2,4932.YDL029W
1,ARP3,ARP3,ARP3,4932.YJR065C
1,ARP4,ARP4,ARP4,4932.YJL081C
1,ARP5,ARP5,ARP5,4932.YNL059C
1,ARP6,ARP6,ARP6,4932.YLR085C
1,ARP7,ARP7,ARP7,4932.YPR034W
1,ARP8,ARP8,ARP8,4932.YOR141C
1,ARP9,ARP9,ARP9,4932.YMR033W
1,ASF1,ASF1,ASF1,4932.YJL115W
1,ASK1,ASK1,ASK1,4932.YKL052C
