node_label,queryItem,stringId,preferredName
AAR2,AAR2,4932.YBL074C,AAR2
ABF1,ABF1,4932.YKL112W,ABF1
ACT1,ACT1,4932.YFL039C,ACT1
ADA2,ADA2,4932.YDR448W,ADA2
AFG3,AFG3,4932.YER017C,AFG3
AHC1,AHC1,4932.YOR023C,AHC1
AIR1,AIR1,4932.YIL079C,AIR1
AIR2,AIR2,4932.YDL175C,AIR2
ALG13,ALG13,4932.YGL047W,ALG13
ALG14,ALG14,4932.YBR070C,ALG14
AME1,AME1,4932.YBR211C,AME1
ANP1,ANP1,4932.YEL036C,ANP1
AOS1,AOS1,4932.YPR180W,AOS1
APC1,APC1,4932.YNL172W,APC1
APC11,APC11,4932.YDL008W,APC11
APC2,APC2,4932.YLR127C,APC2
APC4,APC4,4932.YDR118W,APC4
APC5,APC5,4932.YOR249C,APC5
APC9,APC9,4932.YLR102C,APC9
APL1,APL1,4932.YJR005W,APL1
APL2,APL2,4932.YKL135C,APL2
APL3,APL3,4932.YBL037W,APL3
APL4,APL4,4932.YPR029C,APL4
APL5,APL5,4932.YPL195W,APL5
APL6,APL6,4932.YGR261C,APL6
APM1,APM1,4932.YPL259C,APM1
APM2,APM2,4932.YHL019C,APM2
APM3,APM3,4932.YBR288C,APM3
APM4,APM4,4932.YOL062C,APM4
APS1,APS1,4932.YLR170C,APS1
APS2,APS2,4932.YJR058C,APS2
APS3,APS3,4932.YJL024C,APS3
ARC1,ARC1,4932.YGL105W,ARC1
ARC15,ARC15,4932.YIL062C,ARC15
ARC18,ARC18,4932.YLR370C,ARC18
ARC19,ARC19,4932.YKL013C,ARC19
ARC35,ARC35,4932.YNR035C,ARC35
ARC40,ARC40,4932.YBR234C,ARC40
ARD1,ARD1,4932.YHR013C,ARD1
ARF1,ARF1,4932.YDL192W,ARF1
ARG80,ARG80,4932.YMR042W,ARG80
ARG81,ARG81,4932.YML099C,ARG81
ARG82,ARG82,4932.YDR173C,ARG82
ARP1,ARP1,4932.YHR129C,ARP1
ARP10,ARP10,4932.YDR106W,ARP10
ARP2,ARP2,4932.YDL029W,ARP2
ARP3,ARP3,4932.YJR065C,ARP3
ARP4,ARP4,4932.YJL081C,ARP4
ARP5,ARP5,4932.YNL059C,ARP5
ARP6,ARP6,4932.YLR085C,ARP6
ARP7,ARP7,4932.YPR034W,ARP7
ARP8,ARP8,4932.YOR141C,ARP8
ARP9,ARP9,4932.YMR033W,ARP9
ASC1,ASC1,4932.YMR116C,ASC1
ASF1,ASF1,4932.YJL115W,ASF1
ASH1,ASH1,4932.YKL185W,ASH1
ASK1,ASK1,4932.YKL052C,ASK1
ASM4,ASM4,4932.YDL088C,ASM4
ATG12,ATG12,4932.YBR217W,ATG12
ATG14,ATG14,4932.YBR128C,ATG14
ATG16,ATG16,4932.YMR159C,ATG16
ATG20,ATG20,4932.YDL113C,ATG20
ATG32,ECM17,4932.YIL146C,ATG32
ATG5,ATG5,4932.YPL149W,ATG5
ATP1,ATP1,4932.YBL099W,ATP1
ATP14,ATP14,4932.YLR295C,ATP14
ATP15,ATP15,4932.YPL271W,ATP15
ATP16,ATP16,4932.YDL004W,ATP16
ATP17,ATP17,4932.YDR377W,ATP17
ATP18,ATP18,4932.YML081C-A,ATP18
ATP19,ATP19,4932.YOL077W-A,ATP19
ATP2,ATP2,4932.YJR121W,ATP2
ATP20,ATP20,4932.YPR020W,ATP20
ATP3,ATP3,4932.YBR039W,ATP3
ATP4,ATP4,4932.YPL078C,ATP4
ATP5,ATP5,4932.YDR298C,ATP5
ATP6,ATP6,4932.Q0085,ATP6
ATP7,ATP7,4932.YKL016C,ATP7
ATP8,ATP8,4932.Q0080,ATP8
AVO1,AVO1,4932.YOL078W,AVO1
AVO2,AVO2,4932.YMR068W,AVO2
BBP1,BBP1,4932.YPL255W,BBP1
BCH1,BCH1,4932.YMR237W,BCH1
BCH2,BCH2,4932.YKR027W,BCH2
BCY1,BCY1,4932.YIL033C,BCY1
BDP1,BDP1,4932.YNL039W,BDP1
BET2,BET2,4932.YPR176C,BET2
BET3,BET3,4932.YKR068C,BET3
BET4,BET4,4932.YJL031C,BET4
BET5,BET5,4932.YML077W,BET5
BFA1,BFA1,4932.YJR053W,BFA1
BI3,BI3,4932.Q0115,BI3
BI4,BI4,4932.Q0120,BI4
BIR1,BIR1,4932.YJR089W,BIR1
BIT61,BIT61,4932.YJL058C,BIT61
BNI4,BNI4,4932.YNL233W,BNI4
BRE1,BRE1,4932.YDL074C,BRE1
BRE2,BRE2,4932.YLR015W,BRE2
BRE5,BRE5,4932.YNR051C,BRE5
BRF1,BRF1,4932.YGR246C,BRF1
BRN1,BRN1,4932.YBL097W,BRN1
BRR2,BRR2,4932.YER172C,BRR2
BTT1,BTT1,4932.YDR252W,BTT1
BUB1,BUB1,4932.YGR188C,BUB1
BUB2,BUB2,4932.YMR055C,BUB2
BUB3,BUB3,4932.YOR026W,BUB3
BUD13,BUD13,4932.YGL174W,BUD13
BUD14,BUD14,4932.YAR014C,BUD14
BUD6,BUD6,4932.YLR319C,BUD6
BUD7,BUD7,4932.YOR299W,BUD7
BUG1,BUG1,4932.YDL099W,BUG1
BUL1,BUL1,4932.YMR275C,BUL1
BUL2,BUL2,4932.YML111W,BUL2
BUR2,BUR2,4932.YLR226W,BUR2
BUR6,BUR6,4932.YER159C,BUR6
CAC2,CAC2,4932.YML102W,CAC2
CAF130,CAF130,4932.YGR134W,CAF130
CAF40,CAF40,4932.YNL288W,CAF40
CAM1,CAM1,4932.YPL048W,CAM1
CBC2,CBC2,4932.YPL178W,CBC2
CBF1,CBF1,4932.YJR060W,CBF1
CBF2,CBF2,4932.YGR140W,CBF2
CBK1,CBK1,4932.YNL161W,CBK1
CCL1,CCL1,4932.YPR025C,CCL1
CCR4,CCR4,4932.YAL021C,CCR4
CCS1,CCS1,4932.YMR038C,CCS1
CCT2,CCT2,4932.YIL142W,CCT2
